stream_name,stream,district_name,district,o_zscore,zscore,course_name,course,university_name,university
Biological Science,1,Kalutara,3,-100,-1000000,Biological Science,3,"Eastern University ,Sri Lanka",2
Biological Science,1,Kalutara,3,-100,-1000000,Biological Science,3,"South-Eastern University, Sri Lanka",12
Biological Science,1,Kalutara,3,1.6106,16106,Food Science & Technology,4,University of Peradeniya,8
Biological Science,1,Kalutara,3,1.5525,15525,Food Science & Technology,4,University of Sri Jeyawardanapura,9
Biological Science,1,Kalutara,3,1.5376,15376,Food Science & Technology,4,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kalutara,3,1.2384,12384,Food Science & Nutrition,5,Wayamba University of Sri Lanka,5
Biological Science,1,Kalutara,3,1.3334,13334,Agricultural Technology & Management,6,University of Peradeniya,8
Biological Science,1,Kalutara,3,1.7536,17536,BioChemistry & Molecular Biology,7,University of Colombo,7
Biological Science,1,Kalutara,3,1.7389,17389,Veterinary Science,8,University of Peradeniya,8
Biological Science,1,Kalutara,3,1.7794,17794,Dental Surgery,9,University of Peradeniya,8
Biological Science,1,Kalutara,3,-100,-1000000,Dental Surgery,9,University of Sri Jeyawardanapura,9
Biological Science,1,Kalutara,3,2.329,23290,Medicine,10,University of Colombo,7
Biological Science,1,Kalutara,3,2.2109,22109,Medicine,10,University of Peradeniya,8
Biological Science,1,Kalutara,3,2.1294,21294,Medicine,10,University of Sri Jeyawardanapura,9
Biological Science,1,Kalutara,3,2.0739,20739,Medicine,10,University of Kelaniya,10
Biological Science,1,Kalutara,3,1.7933,17933,Medicine,10,University of Jaffna,1
Biological Science,1,Kalutara,3,1.9664,19664,Medicine,10,University of Ruhuna,11
Biological Science,1,Kalutara,3,1.9138,19138,Medicine,10,University of Moratuwa,13
Biological Science,1,Kalutara,3,-100,-1000000,Medicine,10,"Eastern University ,Sri Lanka",2
Biological Science,1,Kalutara,3,1.8743,18743,Medicine,10,Rajarata University of Sri Lanka,3
Biological Science,1,Kalutara,3,1.7943,17943,Medicine,10,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kalutara,3,1.7883,17883,Medicine,10,Wayamba University of Sri Lanka,5
Biological Science,1,Kandy,4,0.6872,6872,Agriculture ,1,University of Jaffna,1
Biological Science,1,Kandy,4,0.718,7180,Agriculture ,1,"Eastern University ,Sri Lanka",2
Biological Science,1,Kandy,4,0.6807,6807,Agriculture ,1,Rajarata University of Sri Lanka,3
Biological Science,1,Kandy,4,0.7545,7545,Agriculture ,1,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kandy,4,0.6825,6825,Agriculture ,1,Wayamba University of Sri Lanka,5
Biological Science,1,Kandy,4,0.8953,8953,Applied Science (Bio. Sci.),2,Rajarata University of Sri Lanka,3
Biological Science,1,Kandy,4,0.9452,9452,Applied Science (Bio. Sci.),2,Sabragamuwa University of Sri Lanka,4
Biological Science,1,Kandy,4,-100,-1000000,Applied Science (Bio. Sci.),2,"University of Vavuniya , Sri Lanka",6
Biological Science,1,Kandy,4,1.5986,15986,Biological Science,3,University of Colombo,7
Biological Science,1,Kandy,4,1.457,14570,Biological Science,3,University of Peradeniya,8
